Sum of active_region,Year,Quarter,Month,Day,class_type,Year,Quarter,Month,Day,Sum of day,Year,Quarter,Month,Day,event_id,event_type,Sum of hour,instruments,Sum of month,note,Year,Quarter,Month,Day,source_location,Sum of year
13380,2023,Qtr 3,August,1,M2.2,2023,Qtr 3,August,1,1,2023,Qtr 3,August,1,2023-08-01T04:27:00-Flr-001,Solar Flare,4,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,1,S10W45,2023
13380,2023,Qtr 3,August,1,M3.6,2023,Qtr 3,August,1,1,2023,Qtr 3,August,1,2023-08-01T06:28:00-Flr-001,Solar Flare,6,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,1,S10W47,2023
0,2023,Qtr 3,August,2,C5.2,2023,Qtr 3,August,1,1,2023,Qtr 3,August,2,2023-08-01T19:48:00-Flr-001,Solar Flare,19,GOES-P: EXIS 1.0-8.0,8,Currently Unnumbered Region.,2023,Qtr 3,August,2,N17E60,2023
13380,2023,Qtr 3,August,2,M1.0,2023,Qtr 3,August,1,1,2023,Qtr 3,August,2,2023-08-01T21:39:00-Flr-001,Solar Flare,21,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,2,S10W51,2023
13380,2023,Qtr 3,August,2,M1.2,2023,Qtr 3,August,2,2,2023,Qtr 3,August,2,2023-08-02T10:44:00-Flr-001,Solar Flare,10,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,2,S10W61,2023
13386,2023,Qtr 3,August,2,M1.3,2023,Qtr 3,August,2,2,2023,Qtr 3,August,2,2023-08-02T08:03:00-Flr-001,Solar Flare,8,GOES-P: EXIS 1.0-8.0,8,There Was Also A Simultaneous Flare From Active Region 3380 At The Time As Seen In Sdo Aia Imagery.,2023,Qtr 3,August,2,N11W22,2023
13380,2023,Qtr 3,August,2,M1.3,2023,Qtr 3,August,2,2,2023,Qtr 3,August,2,2023-08-02T16:13:00-Flr-001,Solar Flare,16,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,2,S10W63,2023
13380,2023,Qtr 3,August,2,M1.7,2023,Qtr 3,August,2,2,2023,Qtr 3,August,2,2023-08-02T14:46:00-Flr-001,Solar Flare,14,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,2,S10W63,2023
13380,2023,Qtr 3,August,3,M1.1,2023,Qtr 3,August,2,2,2023,Qtr 3,August,3,2023-08-02T19:09:00-Flr-001,Solar Flare,19,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,3,S10W66,2023
13380,2023,Qtr 3,August,3,M2.0,2023,Qtr 3,August,3,3,2023,Qtr 3,August,3,2023-08-03T11:47:00-Flr-001,Solar Flare,11,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,3,S10W72,2023
13386,2023,Qtr 3,August,4,M1.9,2023,Qtr 3,August,4,4,2023,Qtr 3,August,4,2023-08-04T03:38:00-Flr-001,Solar Flare,3,GOES-P: EXIS 1.0-8.0,8,Long-Duration Flare.,2023,Qtr 3,August,4,N12W47,2023
13386,2023,Qtr 3,August,5,M1.6,2023,Qtr 3,August,5,5,2023,Qtr 3,August,5,2023-08-05T06:18:00-Flr-001,Solar Flare,6,GOES-P: EXIS 1.0-8.0,8,Long-Duration Flare.,2023,Qtr 3,August,5,N11W65,2023
13380,2023,Qtr 3,August,5,M2.1,2023,Qtr 3,August,5,5,2023,Qtr 3,August,5,2023-08-05T09:23:00-Flr-001,Solar Flare,9,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,5,S11W98,2023
13386,2023,Qtr 3,August,6,M5.5,2023,Qtr 3,August,6,6,2023,Qtr 3,August,7,2023-08-06T18:20:00-Flr-001,Solar Flare,18,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,7,N11W89,2023
13386,2023,Qtr 3,August,6,X1.6,2023,Qtr 3,August,5,5,2023,Qtr 3,August,6,2023-08-05T21:45:00-Flr-001,Solar Flare,21,GOES-P: EXIS 1.0-8.0,8,No Note,2023,Qtr 3,August,6,N11W74,2023
13387,2023,Qtr 3,August,7,M1.0,2023,Qtr 3,August,7,7,2023,Qtr 3,August,7,2023-08-07T15:30:00-Flr-001,Solar Flare,15,GOES-P: EXIS 1.0-8.0,8,Doubled Peaked M1.0 Flare From Ar 3387.,2023,Qtr 3,August,7,N16W81,2023
